GEOID,Pct_NonWhite,Pct_PublicTrans,Pct_RentBurden,Pct_BelowPov
6037194102,32.9,0.00,60.91,9.6
6037194200,18.7,1.36,70.24,2.1
6037194300,20.2,0.00,61.63,7.8
6037194401,40.5,1.38,45.66,9.7
6037194402,25.1,1.11,53.86,10.6
6037194500,21.6,0.00,57.5,6.6
6037195100,39.5,2.07,55.59,5.4
6037195201,32.6,2.69,29.24,9.9
6037195202,33.3,4.22,46.98,6.6
6037195300,44.6,8.34,45.76,14.4
6037195400,36.2,4.42,47.01,8.4
6037195500,51.4,4.56,35.48,6.6
6037195600,68.7,15.94,45.38,23.3
6037195710,77.3,14.37,70.65,30.9
6037195720,61.8,8.14,49.64,12.5
6037195802,78.6,10.76,49.52,15
6037195803,55,6.33,48.97,12.6
6037195804,75.9,8.80,24.3,10.5
6037195901,54.3,5.79,48.36,15.2
6037195902,38.5,1.50,35.16,4.5
6037195903,65.4,6.14,50.71,12.2
6037197200,90.8,5.42,34.98,4.4
6037197300,52.9,3.99,43.35,5.7
6037197410,54.4,1.65,44.27,6.3
6037197420,57.7,8.10,50.66,9.2
6037197500,65.2,14.97,43.36,16.8
6037197600,64.6,7.62,50.85,29.5
6037197700,78.6,4.41,69.13,16.8
6037199001,99.1,14.79,62.24,24.4
6037199002,80.6,7.79,68.26,13.9
6037199110,92.7,7.80,33.77,15
6037199120,91.7,2.84,60.02,33.6
6037199201,96.6,10.79,48.18,23
6037199202,76.3,6.84,45.48,15
6037199300,78.9,11.99,50,11.9
6037199400,93.3,8.74,54.08,30.5
6037199700,89.3,10.55,62.33,18
6037199801,99,19.04,65.32,17.4
6037199802,95.5,10.50,53.77,13.1
6037199900,97.9,15.39,56.03,21.1
6037201110,85.8,1.78,53.31,8.9
6037201120,88.1,5.45,37.28,13.6
6037201200,90.3,5.85,41.39,11.9
6037201301,87.6,5.76,29.29,15.6
6037201302,80.1,3.25,26.36,6.9
6037201401,90.5,3.68,67.83,28.4
6037201402,92.5,2.54,47.98,13.9
6037201501,91.6,3.89,57.03,13.1
6037201503,92.5,4.27,40.86,8.5
6037201504,92.1,4.03,53.2,13.5
6037201601,93.8,4.06,54.01,18.5
6037201602,92.2,4.34,38.57,10
6037201700,85.7,8.57,44.47,10.8
6037203100,98.4,5.64,48.05,19.2
6037203200,96.9,9.66,50.82,27.9
6037203300,87.9,12.24,61.36,36.8
6037203500,93.7,5.62,53.26,26
6037203601,99.6,4.03,67.32,27
6037203602,96.5,4.35,50.76,24.4
6037203710,98.2,4.90,46.32,21.7
6037203720,98.2,9.56,65.83,24.7
6037203800,98.2,5.81,53.68,21.4
6037203900,95.5,4.68,30,20.3
6037204110,98.1,4.40,68.1,30.1
6037204120,98.7,6.11,44.63,7.3
6037204200,98.7,8.84,55.22,31.2
6037204300,98.2,8.00,50,23.2
6037204410,97.2,10.84,57.35,26.7
6037204420,98,22.26,45.38,32.2
6037204600,96.2,6.38,63.04,20.3
6037204700,95.6,8.12,51.6,23.4
6037204810,99.1,11.20,62.32,17
6037204820,97.9,14.47,69.1,13.4
6037204910,95.5,4.74,50.75,26
6037204920,97.2,4.12,44.06,15.1
6037205110,99.6,17.27,60.62,24.2
6037205120,99.6,8.27,67.33,36
6037206010,85.7,7.53,59.11,25.6
6037206020,83.1,9.25,34.69,13
6037206050,94,20.25,42.78,18.7
6037206051,45.5,0.00,46.81,4.4
6037206052,73.3,3.06,48.56,12.9
6037206053,93.4,12.07,53.24,27.5
6037206054,99.8,7.55,44.07,40.9
6037206201,77.7,14.46,43.76,23.6
6037206202,87.9,22.32,60.47,42.2
6037206301,70.8,37.54,37.89,74
6037206302,80.1,33.76,41.67,67.5
6037206303,77.7,52.98,36.83,74.3
6037207101,83.3,7.47,58.37,26.4
6037207102,89.8,9.54,48.57,23.5
6037207103,89,8.40,56.05,25.8
6037207303,64,11.14,53.24,23
6037207304,90,22.56,48.05,43.8
6037207305,49.6,7.80,55.22,10
6037207306,61.8,8.37,50.89,20.7
6037207307,74.1,10.98,56.47,44.8
6037207308,48.8,6.70,50,9.1
6037207400,75.4,7.25,62.47,28.4
6037207501,76.1,4.21,37.65,11
6037207502,73.5,14.04,54.47,40.5
6037207711,64.4,4.15,40.62,7.7
6037207712,80.1,10.44,60.95,24.3
6037207901,76.7,6.79,39.32,30.8
6037207902,71.5,4.27,50.87,21
6037208001,85.9,16.08,50.59,17.8
6037208002,90.7,13.43,58.45,30.7
6037208301,95.8,34.09,52.7,38.8
6037208302,90.8,18.12,46.92,25.5
6037208401,96.3,29.57,54.08,20.8
6037208402,88.8,15.00,47.25,16.9
6037208501,89.3,6.96,44.24,17.2
6037208502,94.4,29.30,65.26,20.7
6037208610,92.5,13.22,45.62,15.7
6037208620,93.8,8.63,52.9,16.2
6037208710,93.8,17.94,50.39,15.5
6037208720,91.3,38.96,65.2,31.4
6037208801,87.5,29.36,54.83,23.8
6037208802,92.1,17.46,67.83,31.2
6037208902,98.9,43.57,60.09,44.5
6037208903,96.7,60.65,51.71,45.4
6037208904,98.3,46.45,68.22,57.2
6037209103,98.6,40.60,66.64,46.4
6037209104,94,37.58,56.59,33.4
6037209105,100,42.80,67.23,49.3
6037209106,85.1,10.44,63.62,30.6
6037209201,81.4,8.19,67.89,24.2
6037209202,91.5,17.49,79.81,42.6
6037209300,93,28.37,67.3,48.2
6037209401,95,54.51,56.56,21.6
6037209402,96.5,44.85,51.24,29.1
6037209403,96.4,39.92,71.17,25.2
6037209510,95.2,20.54,68.24,27.1
6037209520,96.8,30.52,51.6,31.3
6037209810,92.7,23.78,60.3,35.8
6037209820,94.7,24.46,46.86,17.1
6037210010,95.8,31.56,53.36,36.8
6037211000,51.4,1.09,56.96,8.7
6037211121,87.5,7.01,61.86,21.9
6037211122,83,19.86,65.79,28.1
6037211123,85.6,15.15,51.05,18.4
6037211124,94.2,14.12,50.66,13.6
6037211201,90.4,16.14,53.57,29.2
6037211202,87.8,23.72,49.51,19.3
6037211310,87.1,25.99,65.3,27.1
6037211320,94,27.78,53.63,21.5
6037211410,91.7,13.12,70.77,10.4
6037211420,87.6,15.15,65.25,18.3
6037211500,60,1.93,59.16,4.6
6037211701,71.4,2.46,54.17,11.7
6037211703,93.4,23.50,60.56,13.1
6037211704,85.4,11.88,52.43,17.3
6037211802,86.2,22.58,64.29,21.3
6037211803,95,11.34,56.24,16.2
6037211804,84.8,10.90,55.13,31.6
6037211910,92.5,26.00,57.79,16.3
6037211921,96.1,19.03,61.79,24.2
6037211922,93.8,17.48,61.65,15.1
6037212101,84.2,15.73,57.53,22.2
6037212102,93.6,28.38,61.51,30.2
6037212202,99,32.70,59.62,26.3
6037212203,91.9,28.51,63.44,36.3
6037212204,95.2,20.19,58.27,31.8
6037212303,93.2,23.26,61.01,40.2
6037212304,84.6,29.00,60.05,24.8
6037212305,96.7,26.18,55.89,28.9
6037212306,90.8,11.86,69.97,29.9
